session_id,num_clicks,num_pages,time,google_analytics_cookie,ip_address,email
1,35,29,6:01:33, GA1.2.155930749.155042807,23.11.140.254,
2,81,95,14:31:41, GA1.2.155221088.155755199,29.11.197.44,
3,108,,3:48:18, GA1.2.155498387.155928493,40.112.205.100,
4,115,,14:31:19, GA1.2.155835635.155070132,142.165.14.113,egowry3@cargocollective.com
5,43,15,6:43:46, GA1.2.155683128.155784937,71.126.235.54,eoulett4@unc.edu
6,75,38,11:17:53, GA1.2.155917763.155267926,200.107.185.4,
7,113,9,12:15:17, GA1.2.155835571.155404413,13.87.224.184,
8,97,43,21:17:29, GA1.2.155567055.155921106,168.179.124.139,
9,94,,13:14:17, GA1.2.155088355.155593684,150.113.146.230,
10,58,83,6:41:36, GA1.2.155250429.155274761,88.142.6.220,
11,25,12,4:06:58, GA1.2.155473957.155868840,172.148.30.76,
12,15,21,8:41:45, GA1.2.155963890.155377268,91.141.213.144,
13,2,16,8:53:14, GA1.2.155560845.155419440,112.255.123.78,
14,,,21:12:31, GA1.2.155612683.155475930,175.15.220.10,mtappingtond@unesco.org
15,86,13,7:30:34, GA1.2.155622703.155054153,76.204.73.219,
16,52,80,11:59:34, GA1.2.155111274.155163537,164.183.201.255,
17,71,76,19:38:39, GA1.2.155329538.155580256,73.143.58.90,
18,14,72,, GA1.2.155974031.155785262,135.69.18.178,
19,58,86,18:13:17, GA1.2.155395106.155505307,193.216.121.62,vgilcristi@walmart.com
20,96,86,4:31:20, GA1.2.155017494.155585540,184.36.179.56,
21,48,60,5:59:16, GA1.2.155514411.155168261,192.153.231.242,
22,48,,9:21:07, GA1.2.155698436.155779453,120.79.190.8,
23,,93,12:02:14, GA1.2.155297435.155655610,153.120.174.221,
24,103,68,18:35:49, GA1.2.155750700.155276216,234.55.251.69,
25,8,25,22:35:19, GA1.2.155119770.155163311,171.24.20.96,evinceo@google.com
26,31,2,12:33:28, GA1.2.155979669.155650690,174.53.126.246,
27,65,5,, GA1.2.155752090.155074955,154.154.248.32,
28,21,6,4:37:38, GA1.2.155595697.155155502,202.110.43.21,
29,41,68,9:00:59, GA1.2.155776830.155147029,140.246.161.220,
30,104,13,13:30:27, GA1.2.155045778.155713904,29.134.226.30,
31,109,18,12:33:08, GA1.2.155134592.155975883,252.136.3.57,
32,94,91,14:16:13, GA1.2.155630258.155559103,97.114.156.35,
33,47,32,18:07:43, GA1.2.155141555.155632343,231.73.149.237,
34,,5,2:42:23, GA1.2.155862176.155364206,242.154.52.181,ksouthwardx@geocities.com
35,84,,12:12:57, GA1.2.155073467.155073725,216.101.149.118,
36,14,72,11:21:09, GA1.2.155607956.155535604,215.144.219.70,
37,121,29,0:57:16, GA1.2.155731973.155200830,58.118.0.236,
38,32,24,5:05:29, GA1.2.155819383.155602221,167.94.34.194,
39,27,51,8:06:31, GA1.2.155057186.155222257,29.84.185.84,
40,91,84,13:58:13, GA1.2.155866970.155156382,1.134.106.219,
41,69,8,7:46:43, GA1.2.155164500.155683952,146.34.7.89,
42,67,63,19:02:46, GA1.2.155128868.155018849,56.153.61.180,
43,58,95,17:27:57, GA1.2.155549806.155591557,143.190.231.152,
44,58,80,19:45:42, GA1.2.155860650.155558691,231.44.158.181,
45,66,13,14:13:53, GA1.2.155102538.155018165,244.249.188.107,
46,48,20,9:01:55, GA1.2.155436448.155440327,147.56.170.76,
47,72,,0:13:30, GA1.2.155478827.155661203,119.2.241.51,
48,52,68,23:09:36, GA1.2.155245064.155852579,236.136.112.227,
49,95,29,12:58:09, GA1.2.155546678.155606346,142.5.178.11,
50,112,57,21:28:35, GA1.2.155214725.155610464,61.51.63.206,
51,110,60,4:53:04, GA1.2.155857894.155864050,91.125.131.141,
52,96,,21:04:03, GA1.2.155952365.155725232,0.56.58.86,
53,121,50,23:21:11, GA1.2.155180802.155536332,163.253.247.240,
54,33,95,15:54:09, GA1.2.155834837.155942285,2.247.5.13,
